word,rt,ambiguity,ambiguity_binary,n_communities,entropy,dissimilarity,max_dom,cnt,log_cnt,frq,log_frq,log_frqN,zipf,max_lem_cat,max_lem_cat_sum_perc,max_lem_lemma,max_lem_code,max_lem_perc,all_lem_cnt,all_lem_frq,all_lem_log_cnt,all_lem_log2_cnt,num_letters,sa_orth_cv_structure,sa_orth_syll_structure,rep_letters,N,NHF,frq_hf_s,hf_s,hf_s_list,P,PHF,avg_frq_Ns,N_TL,frq_hf_tl,hf_tl,hf_tl_list,N_A,frq_hf_A,hf_A,hf_A_list,N_D,frq_hf_D,hf_D,hf_D_list,orth_uniq_point,Lev_N,sa_num_phon,sa_num_syll,sa_init_phon,sa_phon_structure,sa_phon_CV_structure,sa_syll_accent,sa_homoph,sa_homoph_list,sa_NP,sa_NPHF,sa_frq_hfp,sa_hfp,sa_hfp_list,sa_pf,sa_pf_hf,sa_avg_frq_Np,sa_phon_uniq_point,familiarity,imageability,concreteness,log_rt,max_dom_scaled
romanticismo,950.6136363636364,0.0,0,1,0.0,0.0,1.0,2808,3.448552,9.123621,1.005336,0.960322,3.960167,NOUN,100.0,romanticismo,NCMS000,53.917379,2820,6.972604,3.450249,11.904219,12,CVCVCCVCVCCV,ro·man·ti·cis·mo,1,0,0,0.0,,,0,0,0.0,0,0.0,,,1,0.03899,romanticismos,OOOOOO;romanticismos,0,0.0,,,13,3.8,12,5,R,Romantisizmo,CVCVCCVCVCCV,4,0,,1,0,0.03899,romanticismos,OOOOOO;romanticismos,1,0,0.03899,13,5.017,4.624,3.388,2.9780040398714305,100.0
rompecabezas,934.5454545454544,0.709404567310808,1,2,0.9666186325481028,0.7339032617659635,0.6071428571428571,675,2.829947,2.193178,0.504223,0.341717,3.341074,NOUN,100.0,rompecabezas,NCMN000,94.518519,675,1.668974,2.829304,8.00496,12,CVCCVCVCVCVC,rom·pe·ca·be·zas,1,0,0,0.0,,,0,0,0.0,0,0.0,,,0,0.0,,,0,0.0,,,11,4.8,12,5,R,RompekaBesas,CVCCVCVCVCVC,4,0,,0,0,0.0,,,0,0,0.0,11,5.029,5.82,5.401,2.970600429501032,60.71428571428571
romper,810.1191222570533,0.4098627327556566,1,2,0.4754316462687206,0.8620855089734529,0.8979591836734694,7866,3.895809,25.557835,1.424193,1.407579,4.407524,VERB,98.614289,romper,VMN0000,98.614289,28909,71.479082,4.461033,19.900816,6,CVCCVC,rom·per,1,3,0,3.564321,rompen,OOOOOO;rompen;rompes;romped,1,0,1.275834,0,0.0,,,2,0.532861,romperá,OOOOOO;romperá;romperé,1,12.177824,rompe,OOOOOO;rompe,7,1.7,6,2,R,Romper,CVCCVC,2,0,,6,0,12.177824,rompe,OOOOOO;rompe;rompen;romperá;rompes;romperé;romped,2,0,2.775318,7,6.142,5.262,4.638,2.908548883489952,89.79591836734694
rompimiento,1273.8369098712446,0.0,0,1,0.0,0.0,1.0,384,2.585461,1.247675,0.351733,0.097231,3.096101,NOUN,100.0,rompimiento,NCMS000,98.697917,418,1.033528,2.621176,6.870565,11,CVCCVCVVCCV,rom·pi·mien·to,1,0,0,0.0,,,0,0,0.0,0,0.0,,,1,0.110471,rompimientos,OOOOOO;rompimientos,0,0.0,,,12,2.9,11,4,R,Rompimjento,CVCCVCVVCCV,3,0,,1,0,0.110471,rompimientos,OOOOOO;rompimientos,1,0,0.110471,12,,,,3.1051138285668927,100.0
romántica,886.8673469387755,0.0,0,1,0.0,0.0,1.0,2396,3.379668,7.78497,0.94374,0.891438,3.891257,ADJECTIVE,95.075125,romántico,AQ0FS0,95.075125,6738,16.660073,3.828531,14.65765,9,CVCVCCVCV,ro·mán·ti·ca,0,1,1,8.16837,romántico,romántico;OOOOOO,1,1,8.16837,0,0.0,,,1,2.297151,románticas,OOOOOO;románticas,1,4.730766,románica,OOOOOO;románica,10,2.25,9,4,R,Romantika,CVCVCCVCV,2,0,,4,1,8.16837,romántico,romántico;OOOOOO;románica;románticas;romantic,3,1,3.929038,10,5.617,3.881,3.85,2.947858665152106,100.0
romántico,862.1807228915662,0.1305439008333116,1,2,0.450791388354665,0.2895882756540255,0.9056603773584906,2514,3.400538,8.16837,0.962292,0.912308,3.912135,ADJECTIVE,95.743835,romántico,AQ0MS0,95.743835,6591,16.296608,3.818951,14.584389,9,CVCVCCVCV,ro·mán·ti·co,1,1,0,7.78497,romántica,OOOOOO;romántica,1,0,7.78497,0,0.0,,,1,3.75927,románticos,OOOOOO;románticos,1,5.900461,románico,OOOOOO;románico,10,2.25,9,4,R,Romantiko,CVCVCCVCV,2,0,,4,0,7.78497,romántica,OOOOOO;romántica;románico;románticos;romantic,3,0,4.491141,10,5.453,5.352,4.232,2.935598308432725,90.56603773584906
ron,833.8163934426229,0.6154956116719865,1,2,0.691289869405789,0.8903582113839557,0.8148148148148148,3766,3.575996,12.236309,1.121767,1.087766,4.08765,NOUN,100.0,ron,NP00000,50.026553,3782,9.351202,3.577722,12.800091,3,CVC,ron,0,24,5,9362.625186,con,con;son;don;von;rol;OOOOOO;non;rob;jon;pon;roy;ros;bon;roo;roa;ton;ion;ran;roe;ren;roc;fon;rod;rom;roí,3,2,471.994258,0,0.0,,,6,5.159654,iron,OOOOOO;iron;aron;roan;roen;roni;bron,2,51.378852,on,on;OOOOOO;ro,4,1.0,3,1,R,Ron,CVC,1,0,,38,7,9362.625186,con,con;son;don;john;on;von;rol;OOOOOO;non;rob;ro;jon;pon;roy;ros;bon;roo;roa;roth;ton;ion;ran;roe;rhin;ren;roc;fon;ión;eón;rod;roan;roch;roen;roni;roll;dón;rom;herrón;roí,4,3,302.52741,4,4.44,5.557,5.767,2.9210704294226626,81.48148148148148
roncha,1067.9803921568628,0.0,0,1,0.0,0.0,1.0,28,1.462398,0.090976,0.037815,-1.025832,1.958927,NOUN,100.0,roncha,NCFS000,92.857143,73,0.180496,1.863323,3.471972,6,CVCCCV,ron·cha,0,4,2,11.566984,concha,concha;loncha;OOOOOO;poncha;roncea,2,1,2.923425,0,0.0,,,2,0.146212,ronchas,ronchas;OOOOOO;troncha,2,3.434354,rocha,rocha;ronca;OOOOOO,7,1.6,5,2,R,RonCa,CVCCV,1,0,,7,5,43.990278,ronda,ronda;concha;rocha;ronchas;loncha;OOOOOO;ronza;poncha,3,3,8.469613,6,,,,3.0285632792316313,100.0
ronda,866.7737373737374,0.5360801022326169,1,2,0.9305861291319928,0.5760671532173463,0.6538461538461539,13539,4.131619,43.990278,1.653119,1.643389,4.643357,NOUN,99.999999,ronda,NCFS000,77.406012,14768,36.514687,4.169322,17.383243,5,CVCCV,ron·da,0,14,0,10.686463,honda,OOOOOO;honda;sonda;fonda;ronca;rondó;rinda;rondo;ronde;monda;randa;roída;renda;ronza;rondé,5,0,2.043485,0,0.0,,,6,4.29538,rondas,OOOOOO;rondas;rondan;rondar;fronda;oronda;rondad,2,20.817321,onda,OOOOOO;onda;roda,6,1.0,5,2,R,Ronda,CVCCV,1,0,,19,0,20.817321,onda,OOOOOO;onda;honda;sonda;rondas;fonda;rondan;rondó;rondar;rinda;ahonda;rondo;ronde;monda;randa;roncha;renda;ronza;rondé;rondad,5,0,2.868318,6,3.368,3.146,3.335,2.937905744033963,65.38461538461539
rondar,913.1133333333332,0.7380952224324053,1,3,0.928492634881714,0.7949392323682088,0.4594594594594595,328,2.517196,1.065722,0.315072,0.028966,3.027644,VERB,100.0,rondar,VMN0000,100.0,2155,5.328355,3.333447,11.111871,6,CVCCVC,ron·dar,1,8,2,4.29538,rondas,rondas;rondan;OOOOOO;roncar;sondar;rendar;mondar;ronzar;rondad,4,1,0.794824,0,0.0,,,2,0.376902,rondará,OOOOOO;rondará;rondara,2,43.990278,ronda,ronda;rodar;OOOOOO,7,1.4,6,2,R,Rondar,CVCCVC,2,0,,11,4,43.990278,ronda,ronda;rondas;rondan;ahondar;OOOOOO;rondará;sondar;rendar;mondar;rondara;ronzar;rondad,5,3,4.706841,7,,,,2.960524684419975,45.94594594594595
ropa,765.5612244897959,0.0,0,1,0.0,0.0,1.0,10541,4.022923,34.249319,1.547151,1.534693,4.534652,NOUN,99.819751,ropa,NCFS000,98.320842,13928,34.437741,4.143889,17.171814,4,CVCV,ro·pa,0,23,4,117.710304,copa,copa;roma;rosa;roja;OOOOOO;roca;rota;sopa;popa;roba;roza;roda;topa;rapa;roya;roña;rola;roía;mopa;dopa;hopa;rora;zopa;jopa,3,2,16.641171,0,0.0,,,3,11.037372,ropas,OOOOOO;ropas;tropa;rompa,2,5.783492,opa,OOOOOO;opa;roa,5,1.0,4,2,R,Ropa,CVCV,1,0,,32,4,117.710304,copa,copa;roma;rosa;roja;OOOOOO;roca;ropas;rota;sopa;opa;popa;roba;rocha;roa;rompa;roza;roda;topa;rapa;roya;roña;rola;roía;arropa;rolla;mopa;dopa;hopa;rapha;chopa;rora;zopa;jopa,5,2,12.78633,5,6.613,6.218,3.791,2.883979928404395,100.0
ropero,917.6835016835016,0.5639821609505207,1,3,0.9397113279028068,0.6001653318463057,0.4301075268817204,401,2.604226,1.30291,0.362277,0.115996,3.114914,NOUN,100.0,ropero,NCMS000,82.793017,448,1.107704,2.651278,7.029275,6,CVCVCV,ro·pe·ro,1,8,2,19.878316,romero,romero;rapero;OOOOOO;rodero;ropera;sopero;rojero;topero;rocero,4,2,3.198385,0,0.0,,,1,0.15271,roperos,OOOOOO;roperos,1,0.064983,opero,OOOOOO;opero,7,1.5,6,3,R,Ropero,CVCVCV,2,0,,12,3,19.878316,romero,romero;rapero;operó;OOOOOO;roquero;rodero;roperos;ropera;opero;sopero;rojero;topero;rocero,5,2,2.358614,7,4.141,5.975,5.256,2.9626929239324946,43.01075268817204
rosa,760.1505791505791,0.0,0,1,0.0,0.0,1.0,18431,4.265572,59.885133,1.784511,1.777343,4.777319,NOUN,63.480006,rosa,NP00000,61.846888,21766,53.817624,4.337779,18.816323,4,CVCV,ro·sa,0,30,2,217.722473,cosa,cosa;roma;OOOOOO;roja;ropa;roca;rusa;risa;rota;rose;ross;fosa;sosa;roba;losa;roza;roda;posa;rasa;nosa;roya;rosi;roña;tosa;rola;roso;roía;josa;rosé;rora;rosó,4,2,17.546291,1,0.051986,roas,OOOOOO;roas,9,24.176945,rosas,OOOOOO;rosas;prosa;rossa;rosal;rosca;arosa;rosea;rosta;rosar,3,3.973714,ros,OOOOOO;ros;osa;roa,5,1.0,4,2,R,Rosa,CVCV,1,1,roza,65,2,217.722473,cosa,cosa;roma;OOOOOO;raza;roja;ropa;roca;rusa;rosas;risa;goza;rota;rose;ross;reza;fosa;choza;sosa;rozas;llosa;ros;osa;roba;rocha;moza;roa;rossa;losa;roce;rosal;roda;rosca;rozar;rozó;loza;posa;poza;rasa;rozan;riza;nosa;roya;rosi;rosea;rocía;tosa;roña;boza;rola;roso;roía;rozo;rocé;rolla;josa;rosta;toza;rosé;ronza;rosar;hoza;rósea;rosó;rora;rozad;rozna,5,2,10.175696,5,,,,2.880899630723689,100.0
rosada,919.2265193370166,0.873419531833582,1,2,0.9992954443621548,0.8740353383588986,0.515625,752,2.876795,2.443363,0.536983,0.388565,3.387988,ADJECTIVE,62.898936,rosado,AQ0FS0,62.898936,2991,7.395411,3.475816,12.0813,6,CVCVCV,ro·sa·da,1,13,3,11.303802,posada,posada;rosado;rodada;OOOOOO;losada;robada;rosana;rozada;rogada;rotada;risada;rolada;rorada;rosara,5,3,1.970236,0,0.0,,,2,1.023483,rosadas,OOOOOO;rosadas;roscada,1,0.549107,osada,OOOOOO;osada,7,1.2,6,3,R,RosaDa,CVCVCV,2,1,rozada,27,3,11.303802,posada,posada;rosado;rodada;OOOOOO;losada;robada;rosana;rosadas;lozada;rozaba;rizada;osada;rozado;rociada;gozada;rozara;rozadas;rogada;rezada;rotada;rozará;roscada;risada;rolada;rollada;rozad;rosara;rorada,6,3,1.135278,7,,,,2.963422545092321,51.5625
rosado,833.558521560575,0.0,0,1,0.0,0.0,1.0,1551,3.190892,5.039436,0.780996,0.702662,3.702382,ADJECTIVE,64.990329,rosado,AQ0MS0,64.990329,2712,6.705568,3.43329,11.787478,6,CVCVCV,ro·sa·do,1,11,1,9.70197,robado,robado;OOOOOO;rodado;rosada;posado;rogado;rozado;rotado;losado;rolado;rasado;fosado,4,1,1.723232,0,0.0,,,3,1.286664,rosados,OOOOOO;rosados;roscado;rosando,1,2.573329,osado,OOOOOO;osado,7,1.25,6,3,R,RosaDo,CVCVCV,2,1,rozado,24,1,9.70197,robado,robado;OOOOOO;rodado;osado;rosada;gozado;rosados;rizado;posado;rogado;rezado;rociado;roscado;rotado;rozada;rozados;rolado;losado;rollado;hozado;rasado;fosado;tozado;rózalo;rozad,6,1,1.125561,7,,,,2.9209360957040773,100.0
