,word,max_dominance,n,entropy
333,plump,84,2,0.6343095546
334,pod,71,2,0.8687212463
335,poker,74,2,0.8267463725
336,policy,54,2,0.9953784388
337,pool,58,2,0.981453895
338,poop,66,4,1.397739767
339,pop,39,3,1.778366857
340,port,44,5,2.140439022
341,pose,74,2,0.8267463725
342,post,36,3,1.582683189
343,pot,52,2,0.998845536
344,pound,45,3,1.520617811
345,pout,98,2,0.1414405425
346,prayer,83,2,0.6577047787
347,present,53,2,0.9974015886
348,press,91,2,0.4364698171
349,prior,87,2,0.557438185
350,pro,71,2,0.8687212463
351,prop,52,3,1.37209407
352,prune,66,2,0.924818705
353,pry,62,2,0.9580420222
354,pug,92,2,0.4670814402
355,pulse,95,2,0.2863969571
356,pump,82,2,0.6800770457
357,punch,53,3,1.459853104
358,pupil,69,2,0.8931734584
359,pussy,91,2,0.4364698171
360,putter,72,3,1.082608685
361,quack,58,2,0.981453895
362,quail,80,2,0.7219280949
363,race,52,2,0.998845536
364,rack,80,5,1.001020464
365,raft,97,2,0.1943918578
366,rag,64,3,1.313961257
367,rail,82,3,0.8176338569
368,rake,84,3,0.7641140546
369,rally,80,2,0.7219280949
370,rank,75,2,0.8112781245
371,rap,80,3,0.8663137139
372,rape,94,2,0.4316150515
373,rare,67,2,0.9149263728
374,rash,55,2,0.992774454
375,rate,81,2,0.7014714599
376,rating,97,2,0.1943918578
377,raven,68,2,1.191113692
378,ray,79,2,0.814277374
379,rear,70,2,0.9445435893
380,reef,87,2,0.6732020983
381,reel,76,3,0.9254957458
382,refrain,67,2,0.9149263728
383,refund,65,2,0.9340680554
384,refuse,79,2,0.7414827399
385,rejoin,90,2,0.4689955936
386,relief,89,2,0.4999159582
387,rent,90,2,0.5571246835
388,repair,96,2,0.2422921891
389,repent,93,2,0.3659236509
390,retainer,72,2,1.082608685
391,revere,90,2,0.4689955936
392,rib,92,2,0.4021791902
393,riddle,88,2,0.5293608653
394,rifle,85,2,0.6098403047
395,ring,52,2,0.998845536
396,ringer,65,2,0.9340680554
397,rip,75,3,0.9711672158
398,roach,90,2,0.5158951529
399,rock,51,2,0.9997114418
400,rocket,99,2,0.0807931359
401,rocky,63,2,1.133519779
402,rook,69,2,1.13206847
403,root,40,3,1.645200548
404,rose,61,2,0.9647995485
405,row,53,3,1.328552644
406,rubber,96,2,0.2747433141
407,rung,66,2,0.924818705
408,rush,91,2,0.5052482226
409,rut,68,2,0.9043814577
410,rye,99,2,0.0807931359
411,sack,72,3,1.061119189
412,sage,58,2,0.981453895
413,sap,79,2,0.9343248651
414,sash,80,2,0.7219280949
415,scale,58,3,1.390394482
416,scarf,68,3,1.104465427
417,scram,93,2,0.3659236509
418,scrap,64,2,0.9426831893
419,scrub,67,2,1.202364355
420,seal,56,2,1.147592237
421,sec,83,2,0.6577047787
422,settle,94,2,0.3274449192
423,sewer,84,2,0.6343095546
424,shag,62,2,1.311123639
425,shark,82,2,0.6800770457
426,shed,60,2,0.9709505945
427,sheer,81,2,0.7014714599
