,word,max_dominance,n,entropy
417,pica,74,2,1.292
418,concreto,68,2,0.904
419,pico,96,2,0.242
420,corto,68,2,0.904
421,narciso,67,2,0.915
422,pila,72,2,1.219
423,pilar,73,3,1.078
424,curva,66,2,0.925
425,pillo,94,2,0.404
426,pinta,34,3,1.875
427,pipa,91,2,0.436
428,pin,52,2,0.999
429,pineda,100,2,0.0
430,botín,66,2,0.925
431,pito,82,3,0.866
432,pío,85,3,0.61
433,pitón,82,2,0.789
434,pique,80,3,0.949
435,pira,64,3,1.302
436,pita,72,5,1.162
437,plaga,93,2,0.407
438,plana,59,3,1.324
439,mimo,66,2,0.925
440,plasma,89,2,0.548
441,pollo,71,2,0.869
442,polo,62,3,1.02
443,plática,99,2,0.081
444,pompa,78,3,0.76
445,potrero,94,2,0.327
446,presión,97,2,0.194
447,heroína,64,2,0.943
448,circular,62,2,0.958
449,portería,99,2,0.081
450,privado,100,2,0.0
451,proceder,52,2,1.387
452,presto,83,2,0.658
453,púa,99,2,0.081
454,puñal,79,2,0.741
455,racha,88,2,0.529
456,lava,62,2,0.958
457,anular,61,2,0.965
458,rama,99,2,0.081
459,carnero,81,3,0.968
460,quijote,99,2,0.081
461,rata,100,2,0.0
462,seta,60,2,0.971
463,raya,78,2,0.76
464,contenedor,59,2,0.977
465,recio,94,2,0.383
466,valer,59,2,0.977
467,regular,56,2,0.99
468,realismo,84,2,0.634
469,reja,79,2,0.837
470,regata,72,2,1.134
471,reo,49,4,1.568
472,revuelta,58,3,1.395
473,rosado,87,2,0.638
474,respaldar,78,2,0.76
475,anochecer,58,2,0.981
476,rubia,78,4,0.76
477,auxiliar,58,2,0.981
478,cerrada,58,3,0.981
479,acuario,56,2,0.99
480,armada,56,2,0.99
481,arrebato,56,2,0.99
482,duelo,56,2,0.99
483,ronca,61,2,1.312
484,roque,85,2,0.61
485,rumbo,99,2,0.081
486,sable,93,2,0.407
487,saca,94,2,0.327
488,salón,87,2,0.557
489,devenir,55,2,0.993
490,secreto,52,2,0.999
491,senado,88,2,0.682
492,saga,98,2,0.141
493,salar,90,2,0.469
494,sereno,58,2,1.296
495,seso,100,2,0.0
496,soborno,88,2,0.649
497,alfabeto,53,2,0.997
498,constancia,53,2,0.997
499,solar,80,4,0.891
500,sumo,54,3,1.515
501,mérito,53,2,0.997
502,sillería,70,2,0.881
503,tacha,100,2,0.0
504,tala,76,3,1.021
505,soma,91,2,0.505
506,vincular,52,2,0.999
507,sorda,90,3,0.469
508,sueco,75,2,1.01
509,suiza,72,2,1.034
510,lunar,52,2,0.999
511,sumario,84,2,0.708
512,talla,97,3,0.28
513,súper,62,2,1.24
514,tac,100,2,0.0
515,talón,91,3,0.436
516,tanque,63,2,0.951
517,parecer,52,2,0.999
518,tapa,100,2,0.0
519,tallado,94,2,0.327
520,querer,52,2,0.999
521,tejo,99,2,0.081
522,granito,51,2,1.0
523,tela,100,2,0.0
524,tele,69,2,0.893
525,tara,40,3,1.547
526,teja,99,2,0.081
527,temporal,80,2,0.722
528,tensión,100,2,0.0
529,tiro,100,2,0.0
530,tocado,58,2,0.981
531,haz,51,3,1.0
532,tocar,88,2,0.627
533,amanecer,51,2,1.0
534,top,72,2,1.135
535,tirón,100,2,0.0
536,tito,100,2,0.0
537,titular,54,2,0.995
538,animal,51,2,1.0
539,tocador,73,2,0.841
540,topo,97,4,0.3
541,trago,100,2,0.0
542,traste,74,2,1.045
543,trucha,67,2,0.915
544,oscurecer,51,2,1.0
545,turquesa,99,2,0.081
546,vagar,51,3,1.478
547,trepa,69,2,0.893
548,vago,51,2,1.0
549,coco,72,4,1.01
550,vano,99,2,0.081
551,placer,62,3,1.071
552,coacción,71,2,1.071
553,turca,82,2,0.797
554,vaya,59,2,1.386
555,colmo,60,3,1.086
556,uranio,87,2,0.557
557,amén,73,2,1.092
558,vela,49,3,1.294
559,timo,67,3,1.141
560,cola,69,3,1.188
561,coma,58,3,1.254
562,velar,61,3,1.3
563,verso,98,3,0.141
564,atardecer,52,2,1.372
565,box,52,2,1.417
566,pago,50,4,1.499
567,vera,38,3,1.926
568,viento,100,2,0.0
569,viabilidad,47,2,1.406
570,vial,76,2,0.795
571,mango,49,3,1.506
572,baranda,59,2,1.541
573,viola,68,2,1.086
574,bardo,41,2,1.546
575,escalar,54,3,1.68
576,vis,50,2,1.0
577,vivero,89,2,0.5
